               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.058415,            0.016679,           0.0027222,             0.57264,             0.86303,             0.69319,             0.21244,            0.052647,            0.013333,            0.001877,            0.008948,            0.008948,            0.016548
                  37,            0.058866,            0.017174,             0.00298,             0.75799,             0.83763,             0.84313,             0.30836,            0.051022,            0.013443,           0.0019411,           0.0091734,           0.0091734,            0.014273
                  38,            0.055474,            0.017227,            0.003501,             0.67002,             0.68073,              0.6838,             0.20208,            0.050539,            0.013552,            0.002152,           0.0093975,           0.0093975,            0.011998
                  39,            0.054843,            0.017304,           0.0032684,             0.83232,             0.87263,             0.92147,             0.38272,            0.044986,             0.01318,           0.0016819,           0.0096203,           0.0096203,           0.0097203
                  40,            0.054472,            0.016436,           0.0029654,             0.79283,             0.89561,             0.86366,             0.33175,            0.046347,            0.013146,           0.0016481,            0.009611,            0.009611,            0.009611
                  41,            0.055247,            0.016368,           0.0027527,             0.89611,             0.87938,             0.90201,              0.3271,            0.047003,            0.012917,           0.0014769,            0.009611,            0.009611,            0.009611
                  42,            0.052838,            0.017424,           0.0023301,             0.87135,             0.87673,             0.89411,             0.35391,            0.046498,            0.013043,             0.00134,           0.0095916,           0.0095916,           0.0095916
                  43,            0.053038,            0.015647,           0.0020894,             0.81883,             0.89059,             0.84627,             0.31679,            0.047614,             0.01376,           0.0019188,           0.0095717,           0.0095717,           0.0095717
                  44,            0.051631,            0.016035,           0.0028295,             0.93617,             0.93327,             0.94184,             0.38298,            0.042622,            0.012668,           0.0019353,           0.0095514,           0.0095514,           0.0095514
                  45,            0.052455,            0.016433,           0.0025634,             0.88079,             0.89637,              0.9149,             0.37689,            0.042136,            0.012828,            0.002404,           0.0095307,           0.0095307,           0.0095307
                  46,            0.049439,             0.01625,           0.0025118,             0.75899,             0.73703,             0.75271,             0.26262,            0.045566,            0.014224,           0.0037304,           0.0095095,           0.0095095,           0.0095095
                  47,            0.052175,            0.016197,           0.0022213,             0.92166,             0.92092,             0.91908,             0.37926,            0.041211,            0.012969,           0.0013279,           0.0094879,           0.0094879,           0.0094879
                  48,            0.048602,            0.015732,           0.0048294,              0.9429,             0.92348,             0.94954,             0.39903,            0.040949,            0.012782,           0.0018831,           0.0094659,           0.0094659,           0.0094659
                  49,            0.048211,            0.016501,           0.0030352,             0.92764,             0.92716,              0.9435,             0.37133,            0.041919,            0.013013,           0.0014422,           0.0094434,           0.0094434,           0.0094434
                  50,            0.047369,            0.015746,           0.0023406,             0.90752,             0.88708,             0.89609,             0.32868,            0.045191,            0.012563,           0.0012871,           0.0094205,           0.0094205,           0.0094205
                  51,            0.047081,            0.015824,           0.0023121,             0.94418,             0.94943,             0.95471,             0.39424,            0.040006,             0.01224,           0.0014368,           0.0093971,           0.0093971,           0.0093971
                  52,            0.047935,            0.015599,            0.003242,             0.95622,             0.94168,              0.9577,             0.41306,            0.039786,            0.012265,            0.001555,           0.0093733,           0.0093733,           0.0093733
                  53,            0.047612,            0.016106,           0.0021344,             0.94683,             0.93237,             0.95042,             0.41253,            0.038476,            0.012395,           0.0012957,           0.0093491,           0.0093491,           0.0093491
                  54,             0.04718,            0.015041,           0.0022977,             0.91587,             0.91388,             0.91864,             0.34367,            0.041887,            0.012444,           0.0013607,           0.0093245,           0.0093245,           0.0093245
                  55,            0.047094,            0.015743,           0.0023487,             0.89888,             0.91543,             0.91502,             0.37649,            0.039794,            0.013196,           0.0015877,           0.0092995,           0.0092995,           0.0092995
                  56,            0.047481,            0.015711,           0.0022515,             0.93385,             0.93508,             0.93947,             0.36957,            0.041071,            0.012545,           0.0012761,            0.009274,            0.009274,            0.009274
                  57,            0.047645,            0.015122,           0.0018734,             0.94027,             0.93267,             0.94172,              0.4109,            0.039179,            0.012475,           0.0013682,           0.0092481,           0.0092481,           0.0092481
                  58,            0.044511,            0.015694,            0.002351,             0.95918,             0.96301,             0.97504,             0.43015,            0.038166,            0.011925,           0.0013952,           0.0092219,           0.0092219,           0.0092219
                  59,            0.044989,            0.016273,           0.0019229,             0.96788,             0.95885,              0.9735,             0.43492,            0.038757,            0.011937,           0.0011331,           0.0091952,           0.0091952,           0.0091952
                  60,            0.045676,            0.015335,           0.0019212,             0.89582,             0.91142,             0.90813,             0.35864,            0.040508,            0.012798,           0.0013258,           0.0091681,           0.0091681,           0.0091681
                  61,            0.044108,            0.015392,           0.0017641,             0.90217,             0.89945,             0.91005,             0.39054,            0.038544,            0.012472,           0.0017178,           0.0091406,           0.0091406,           0.0091406
                  62,            0.044772,            0.015131,           0.0017294,             0.93529,              0.9469,             0.94528,             0.43293,            0.037161,            0.012196,          0.00097178,           0.0091127,           0.0091127,           0.0091127
                  63,             0.04282,            0.015465,           0.0016259,             0.94168,              0.9413,             0.94101,             0.39956,            0.040094,            0.012009,          0.00092069,           0.0090844,           0.0090844,           0.0090844
                  64,            0.042974,            0.015828,           0.0014972,             0.95428,             0.94775,             0.95545,             0.43224,            0.039199,            0.011734,          0.00089669,           0.0090557,           0.0090557,           0.0090557
                  65,            0.043304,            0.014568,           0.0017361,              0.9649,             0.96285,             0.96873,             0.43198,            0.038478,            0.011707,           0.0010232,           0.0090266,           0.0090266,           0.0090266
                  66,            0.045753,            0.014867,           0.0018197,             0.94337,             0.93262,             0.94331,             0.39002,            0.038873,            0.012047,           0.0011812,           0.0089972,           0.0089972,           0.0089972
                  67,            0.042428,            0.014664,           0.0015392,             0.96932,             0.96469,             0.97076,             0.45779,            0.036374,            0.011667,          0.00089742,           0.0089673,           0.0089673,           0.0089673
                  68,            0.043934,            0.014923,           0.0018776,             0.97014,             0.95272,             0.97031,             0.45484,            0.038779,            0.011666,           0.0010059,           0.0089371,           0.0089371,           0.0089371
                  69,            0.042512,            0.014836,           0.0014359,             0.94068,             0.94782,             0.95767,             0.41676,             0.03798,             0.01177,           0.0010535,           0.0089065,           0.0089065,           0.0089065
                  70,            0.043957,            0.014805,           0.0014245,             0.93419,             0.92297,             0.93144,             0.36658,            0.039383,            0.011952,           0.0009554,           0.0088755,           0.0088755,           0.0088755
                  71,             0.04007,            0.014412,           0.0013227,             0.95821,             0.95836,             0.97011,             0.46567,            0.037114,            0.011599,          0.00089999,           0.0088442,           0.0088442,           0.0088442
                  72,            0.040426,            0.014087,           0.0012465,              0.9596,             0.95772,              0.9683,             0.46237,            0.036594,            0.011507,          0.00083373,           0.0088124,           0.0088124,           0.0088124
                  73,            0.041813,            0.014618,           0.0012645,             0.95064,             0.95873,              0.9668,             0.44584,             0.03579,            0.011745,          0.00099207,           0.0087804,           0.0087804,           0.0087804
                  74,            0.041512,            0.015168,           0.0012424,             0.97112,             0.96938,             0.97571,             0.46756,            0.035132,            0.011412,          0.00078169,           0.0087479,           0.0087479,           0.0087479
                  75,            0.041518,            0.014062,           0.0010446,             0.97211,             0.97431,             0.98164,             0.48225,            0.035327,            0.011243,          0.00084101,           0.0087151,           0.0087151,           0.0087151
                  76,            0.041455,            0.014668,           0.0012181,              0.9666,             0.96289,             0.97118,             0.45755,            0.035148,            0.011504,          0.00099093,            0.008682,            0.008682,            0.008682
                  77,            0.041427,            0.014587,           0.0014443,             0.94903,             0.93893,             0.94765,             0.38799,            0.038756,             0.01161,           0.0010063,           0.0086485,           0.0086485,           0.0086485
                  78,            0.040491,            0.014741,           0.0011059,             0.92436,             0.92582,             0.92659,             0.39146,             0.03849,            0.011717,          0.00082978,           0.0086146,           0.0086146,           0.0086146
                  79,            0.041377,            0.014379,           0.0010997,             0.96846,             0.96285,             0.97488,             0.48157,            0.034921,             0.01132,          0.00075047,           0.0085805,           0.0085805,           0.0085805
                  80,            0.040448,            0.014628,           0.0017675,             0.95538,             0.94918,             0.96056,             0.45658,            0.036522,            0.011533,           0.0007607,           0.0085459,           0.0085459,           0.0085459
                  81,            0.039835,            0.014715,           0.0016048,             0.97338,             0.96963,             0.97825,             0.45869,            0.034978,            0.011281,          0.00081168,           0.0085111,           0.0085111,           0.0085111
                  82,            0.040954,            0.014689,             0.00121,             0.97772,               0.975,             0.98463,             0.46834,            0.036474,            0.011138,          0.00078549,           0.0084759,           0.0084759,           0.0084759
                  83,            0.039698,            0.014601,           0.0011906,             0.97856,             0.98269,             0.98679,             0.48932,            0.032938,               0.011,          0.00071832,           0.0084404,           0.0084404,           0.0084404
                  84,            0.040306,            0.014037,           0.0011813,             0.97173,             0.96955,             0.97495,             0.47115,            0.033879,            0.011332,          0.00068505,           0.0084046,           0.0084046,           0.0084046
                  85,            0.038803,            0.014604,           0.0011581,              0.9442,             0.93309,             0.94247,             0.40629,            0.037416,            0.011699,          0.00070053,           0.0083684,           0.0083684,           0.0083684
                  86,            0.040418,            0.014247,            0.001236,             0.97932,             0.97511,             0.98018,             0.49717,            0.033242,            0.010975,          0.00068669,           0.0083319,           0.0083319,           0.0083319
                  87,             0.03975,              0.0145,           0.0010102,             0.96413,             0.96501,             0.96657,             0.46409,            0.035555,            0.011243,           0.0007256,           0.0082952,           0.0082952,           0.0082952
                  88,            0.039109,            0.014029,           0.0012463,             0.97095,             0.96919,             0.97777,             0.44298,            0.035689,            0.011167,          0.00072686,           0.0082581,           0.0082581,           0.0082581
                  89,            0.041387,            0.014207,           0.0011472,             0.96322,              0.9589,             0.96914,             0.43092,            0.036125,            0.011241,          0.00078787,           0.0082207,           0.0082207,           0.0082207
                  90,            0.038555,            0.013821,           0.0010355,             0.97044,             0.96752,             0.97692,             0.45771,            0.034498,            0.011208,          0.00083418,            0.008183,            0.008183,            0.008183
                  91,            0.039164,            0.014104,            0.001218,             0.97034,             0.97351,             0.98167,             0.50595,            0.032732,            0.011073,          0.00083106,            0.008145,            0.008145,            0.008145
                  92,            0.037776,            0.014442,           0.0013124,             0.96223,             0.96478,             0.96923,             0.47747,            0.033449,            0.011251,           0.0008212,           0.0081068,           0.0081068,           0.0081068
                  93,            0.037986,            0.013327,           0.0013022,             0.98568,             0.97651,             0.98823,             0.51204,            0.033087,            0.011047,          0.00070645,           0.0080682,           0.0080682,           0.0080682
                  94,            0.040486,            0.014203,             0.00121,             0.97591,             0.97564,             0.98383,             0.51442,            0.032707,            0.010948,          0.00060846,           0.0080294,           0.0080294,           0.0080294
                  95,            0.038804,            0.013787,           0.0010423,             0.97713,             0.97688,             0.98565,             0.49916,            0.033245,            0.010917,          0.00058505,           0.0079903,           0.0079903,           0.0079903
                  96,            0.038167,            0.014499,           0.0014478,             0.98257,             0.97291,              0.9819,             0.51186,            0.032695,            0.010885,          0.00069232,           0.0079509,           0.0079509,           0.0079509
                  97,            0.038076,            0.013635,           0.0010651,             0.95784,             0.95227,             0.96429,             0.44594,            0.035802,            0.011206,          0.00073119,           0.0079112,           0.0079112,           0.0079112
                  98,            0.037237,            0.014094,          0.00089065,             0.97177,             0.97288,             0.98274,             0.50155,             0.03399,            0.011081,          0.00063712,           0.0078713,           0.0078713,           0.0078713
                  99,            0.038655,            0.014499,          0.00075558,             0.96356,             0.96193,             0.96454,              0.4677,            0.036048,             0.01117,          0.00063847,           0.0078311,           0.0078311,           0.0078311
                 100,            0.037803,            0.014012,           0.0010206,             0.97752,             0.97641,             0.98568,             0.50414,             0.03288,            0.010892,          0.00070975,           0.0077907,           0.0077907,           0.0077907
                 101,            0.038455,            0.013793,            0.001054,             0.95704,              0.9494,             0.96115,             0.40723,            0.038284,            0.011324,          0.00069028,             0.00775,             0.00775,             0.00775
                 102,            0.038797,            0.014135,           0.0012859,             0.93273,             0.92814,             0.93465,             0.38404,            0.039572,            0.011509,          0.00070442,           0.0077091,           0.0077091,           0.0077091
                 103,             0.03957,            0.013778,          0.00099326,             0.92962,              0.9241,             0.93003,             0.38717,            0.038462,            0.011518,          0.00069214,           0.0076679,           0.0076679,           0.0076679
                 104,            0.037722,              0.0134,           0.0012255,             0.96972,             0.97236,             0.97686,             0.46856,            0.033337,            0.010981,          0.00067334,           0.0076265,           0.0076265,           0.0076265
                 105,            0.038785,            0.014057,           0.0012286,             0.97994,             0.98117,             0.98565,             0.52365,            0.031395,            0.010753,          0.00065515,           0.0075848,           0.0075848,           0.0075848
                 106,            0.038991,            0.014587,           0.0016939,             0.97571,             0.98253,             0.98388,             0.51102,            0.032066,            0.010844,           0.0006687,            0.007543,            0.007543,            0.007543
                 107,            0.036699,            0.013573,          0.00098341,             0.97452,             0.97291,             0.97997,             0.51233,            0.032178,            0.010859,          0.00062266,           0.0075009,           0.0075009,           0.0075009
